S332 Raw Data

Start Date Time,14.May 2026 10:14
End Date Time,15.May 2026 10:14
Sample Rate(sec),10
NO.Of Channels,50

No.,Channel,Sensor,Unit,Resolution,Location/Measurement Point
30,CH30,Sensor 30,mV,0.0000000000000001,Location 30/MP001
31,CH31,Sensor 31,mV,0.0000000000000001,Location 31/MP001
32,CH32,Sensor 32,mV,0.0000000000000001,Location 32/MP001
33,CH33,Sensor 33,mV,0.0000000000000001,Location 33/MP001
34,CH34,Sensor 34,mV,0.0000000000000001,Location 34/MP001
35,CH35,Sensor 35,mV,0.0000000000000001,Location 35/MP001
36,CH36,Sensor 36,mV,0.0000000000000001,Location 36/MP001
37,CH37,Sensor 37,mV,0.0000000000000001,Location 37/MP001
38,CH38,Sensor 38,mV,0.0000000000000001,Location 38/MP001
39,CH39,Sensor 39,mV,0.0000000000000001,Location 39/MP001
40,CH40,Sensor 40,mV,0.0000000000000001,Location 40/MP001
41,CH41,Sensor 41,mV,0.0000000000000001,Location 41/MP001
42,CH42,Sensor 42,mV,0.0000000000000001,Location 42/MP001
43,CH43,Sensor 43,mV,0.0000000000000001,Location 43/MP001
44,CH44,Sensor 44,mV,0.0000000000000001,Location 44/MP001
45,CH45,Sensor 45,mV,0.0000000000000001,Location 45/MP001
46,CH46,Sensor 46,mV,0.0000000000000001,Location 46/MP001
47,CH47,Sensor 47,mV,0.0000000000000001,Location 47/MP001
48,CH48,Sensor 48,mV,0.0000000000000001,Location 48/MP001
49,CH49,Sensor 49,mV,0.0000000000000001,Location 49/MP001
50,CH50,Sensor 50,mV,0.0000000000000001,Location 50/MP001

Date Time,CH1 - mV,CH2 - mV,CH3 - mV,CH4 - mV,CH5 - mV,CH6 - mV,CH7 - mV,CH8 - mV,CH9 - mV,CH10 - mV,CH11 - mV,CH12 - mV,CH13 - mV,CH14 - mV,CH15 - mV,CH16 - mV,CH17 - mV,CH18 - mV,CH19 - mV,CH20 - mV,CH21 - mV,CH22 - mV,CH23 - mV,CH24 - mV,CH25 - mV,CH26 - mV,CH27 - mV,CH28 - mV,CH29 - mV,CH30 - mV,CH31 - mV,CH32 - mV,CH33 - mV,CH34 - mV,CH35 - mV,CH36 - mV,CH37 - mV,CH38 - mV,CH39 - mV,CH40 - mV,CH41 - mV,CH42 - mV,CH43 - mV,CH44 - mV,CH45 - mV,CH46 - mV,CH47 - mV,CH48 - mV,CH49 - mV,CH50 - mV
14-05-2026 10:14:35,13.8474801252435782,-88.1147562466691454,72.2970736699838881,48.0310799199399696,24.3619711409272810,4.6190874021042987,-22.3502561523408474,56.8574214905681004,44.3364005895754758,91.5513350028704451,67.7386418612606747,-76.9778259914765073,-79.3815739383488506,39.7092507675722857,89.8729127836297437,12.6534304330816099,99.4089630740835730,67.7832040025373885,14.6097678014211141,28.7163491619783713,11.8288763538852919,-9.1159570315983132,-0.0385184889620973,-4.8770447790294895,53.9813082383296603,-7.9144036160942628,94.5794130740447088,31.6855653846584460,-53.3452056793758302,-37.8764593833890686,5.0460752036779439,66.4328130246968556,56.9155084104108084,57.5991627600461413,-50.7412913812692707,-95.6729310856155877,-53.4994098332482722,72.9921181294760686,55.2115273999205272,-1.9981517439489240,60.7450382821528194,68.5395867306450839,-31.9718357925650416,-38.9521477212857761,-12.2234179005041028,15.4766582765883225,-10.5272718373650207,-11.9455837708150483,35.8546391867099601,53.5655786295490373
14-05-2026 10:14:45,-32.9204102401099590,-17.8826253308599377,-97.1924063506800024,-89.3910230889566861,-7.5439569385122098,-40.0872868705654426,7.4892425472282866,9.4928840175603852,63.8349960793491746,24.2954275533271016,74.5331042889652338,93.7267602609613277,-53.2130582999710811,34.3456414190823693,-54.7634708734906468,-33.3374901164543616,-2.4913745279597777,-29.7173616615402807,17.3264788228771209,-92.0721572216663589,-3.4009495550875357,24.5320656063937435,62.6862897800510837,67.8539353966476710,49.0570249121086590,-86.1896300089800320,33.4745705088454883,55.0371791506426007,-28.0162111801870566,54.5036010459631370,30.6801390757489649,46.9367762030375104,84.1303694588283975,-32.0467019905231894,14.6768768777114662,-76.0742495512056962,-85.6568865593015119,28.1518841785310201,94.2886048495604427,57.2398969477047785,-15.5315807318585239,-61.8920287325370637,68.2351640866955620,-13.3352960190510288,-45.3216097845113310,61.1580017076590181,99.3366387118792886,54.2188366838086893,-67.3050181335047739,55.1245621413009417
14-05-2026 10:14:55,-68.7480153028493248,-52.5024291524377134,-29.2553119128620978,48.5901064965983664,67.5265153497855692,30.5227346398079931,80.9763103955107226,42.3366495079269498,-43.7252958605853550,-59.3110018683152234,30.4388716796538894,-10.1279469224460854,-36.4438604081138706,-98.1989377300127728,10.9583526071809416,-76.2717591411974354,-17.0167870862760822,-42.0366910219589940,62.6684593981161697,60.9572321734730096,80.5231279110491300,-56.0597411617878976,-24.1385295758008311,28.3014629714130592,11.7261954898204408,-16.3486598747726930,-13.0596275762831198,17.2589632780985767,-83.0169463906271972,-60.8368892741146254,-28.9860634265622394,-7.6249364788485536,-22.6888339788888374,-67.1635045403302513,-71.6617649132699768,5.7782260380649006,91.9847354806096007,-65.9356598746051930,-50.6670811791864679,-68.9529738821725715,-95.2199072902081838,-8.5255171012543798,4.7079518293074614,-17.8106601780110338,71.7458854662688452,-67.3219144403042264,31.3760016082903235,85.3202508901058536,1.0062796338722819,32.1048411835662648
